Condition,BriefSummary
meningococcal,"The primary objective of the study is to demonstrate the non-inferiority of the antibody response against meningococcal serogroups A, C, Y, and W following a 3-dose series of MenACYW conjugate vaccine compared to a 3-dose series of a licensed meningococcal vaccine when each vaccine is given concomitantly with routine pediatric vaccines (10-valent pneumococcal vaccine and diphtheria, tetanus, pertussis, hepatitis B, poliomyelitis and Haemophilus influenzae type b [DTaP-IPV-HB-Hib vaccine]) to infants and toddlers 6 weeks to 18 months old.||The secondary objectives are:||To demonstrate the non-inferiority of the antibody response against meningococcal serogroups A, C, Y, and W following the administration of 2 doses in infancy of MenACYW conjugate vaccine compared to 2 doses of a licensed meningococcal vaccine when each vaccine is given concomitantly with routine pediatric vaccines (10-valent pneumococcal vaccine and DTaP-IPV-HB-Hib vaccine) to infants and toddlers 6 weeks to 18 months old.|To describe the antibody responses against meningococcal serogroups A, C, Y, and W when MenACYW conjugate vaccine is administered in a 3-dose series concomitantly with the routine pediatric vaccines.|To describe the antibody responses against the antigens of the routine pediatric vaccines administered in a 3-dose series concomitantly with MenACYW conjugate vaccine or a licensed meningococcal vaccine.|To describe the safety profile of MenACYW conjugate vaccine and a licensed meningococcal vaccine."
meningococcal,"This was an open-label, multi-center study to describe the immune persistence of the priming dose and describe the immunogenicity and safety of a booster dose of Meningococcal Polysaccharide (Serogroups A, C, Y, and W) Tetanus Toxoid (MenACYW) conjugate vaccine in children in Finland who had been vaccinated 3 years earlier as toddlers with either MenACYW conjugate vaccine or Nimenrix® as part of the MET54 study (NCT03205358).||The objectives were:||To describe the antibody persistence of meningococcal serogroups A, C, Y, and W before a booster dose in children who received either MenACYW conjugate vaccine or Nimenrix® 3 years earlier as toddlers.|To describe the antibody responses to meningococcal serogroups A, C, Y, and W 30 days after a booster dose of MenACYW conjugate vaccine in children who received either MenACYW conjugate vaccine or Nimenrix® 3 years earlier as toddlers.|To describe the antibody responses against tetanus toxoid 30 days after a booster dose of MenACYW conjugate vaccine in children who received either MenACYW conjugate vaccine or Nimenrix® 3 years earlier as toddlers.|To describe the safety profile of a booster dose of MenACYW conjugate vaccine in children who received either MenACYW conjugate vaccine or Nimenrix® 3 years earlier as toddlers."
meningococcal,"This study will investigate the breadth of protection against meningococcal disease in humans immunized with a newly FDA approved meningococcal B vaccine, trade name ""Trumenba®"" manufactured by Pfizer Vaccines. As a secondary goal the investigators will investigate underlying mechanisms by which human anti-FHbp antibodies elicit complement-mediated bactericidal activity."
meningococcal,"Primary :1.To demonstrate a sufficient immune response of rMenB+OMV NZ, when given concomitantly with routine infant vaccines to healthy infants at 2, 4 and 6 and 2, 3 and 4 months of age, as measured by percentage of subjects with serum bactericidal activity (SBA) titer ≥1:5, at 1 month after the third vaccination Secondary :To demonstrate that immunogenicity of routine infant vaccines, when given concomitantly with rMenB+OMV NZ to healthy infants at 2, 3 and 4 months of age, was non-inferior to that of routine infant vaccines given without rMenB+OMV NZ. 2. To demonstrate that the immunogenicity of rMenB+OMV NZ when given concomitantly with routine infant vaccines was non-inferior to that of rMenB+OMV NZ given without routine infant vaccines at 2, 4 and 6 months of age. 3. To assess prevalence of meningococcal B antibodies over the study period by evaluation of SBA, at baseline and at 1 month after third vaccination, in subjects- received routine infant vaccine without rMenB+OMV NZ."
meningococcal,"Phase I study to evaluate safety and immunogenicity in healthy adult subjects following a single dose administration of Meningococcal (Group A, C, W-135, and Y)-CRM197 Conjugate vaccine"
meningococcal,"The purpose of this study is to assess the safety, effectiveness and immune response of the meningococcal combined ABCWY vaccine (GSK4023393A) intended to protect against invasive meningococcal disease (IMD) caused by all 5 meningococcal serogroups. The first time-in-human (FTIH), Phase I part of this study will be conducted in healthy adults in a dose-escalating fashion with 2 formulations of the investigational MenABCWY-2Gen vaccine and will serve as a safety lead-in to the Phase II study. The Phase II part of the study will be conducted in 2 parts: The 'formulation and schedule-finding' part will follow in healthy adolescents and young adults and it is designed to select the vaccine formulation and the schedule to be tested in Phase III. The 'blood sourcing' part will be conducted in healthy adults in order to collect sufficient serum samples for the development of assays to be used in the MenABCWY-2Gen vaccine clinical development program."
meningococcal,The purpose of this study is to evaluate the effectiveness of 2 doses or 3 doses of GSK's licenced meningococcal group B Bexsero (rMenB+OMV NZ) vaccine and of 2 doses of GSK's investigational combined meningococcal (MenABCWY) vaccine (GSK3536819A) in healthy adolescents and young adults. The immunogenicity and safety will also be evaluated in the study.
meningococcal,"The purpose of this study is to evaluate the immunogenicity, safety and tolerability of rMenB+OMV NZ and MenACWY vaccines when concomitantly administered to healthy subjects 16-18 years of age."
meningococcal,"MenACWY (Menveo) is a GSK vaccine intended for protection against disease caused by meningococcal bacteria groups A, C, W and Y in infants, children and adults, licensed in more than 60 countries.||The purpose of this study is to compare the immunogenicity of the currently licensed MenACWY vaccine with the investigational MenACWY liquid vaccine."
meningococcal,"The purpose of this study is to evaluate the safety and immunogenicity of Bexsero (meningococcal group B vaccine-rMenB+OMV NZ) in North American infants 6 weeks through 12 months of age, when administered concomitantly with Pneumococcal conjugate vaccine (PCV 13) and other recommended routine infant vaccines(RIV)."
meningococcal,The purpose/aim of this study is to assess the safety and antibody response to vaccination with a booster dose of Menveo given 4-6 years after primary MenACWY vaccination and to assess the safety and antibody response to a single dose of Menveo given to vaccine-naïve subjects
meningococcal,"The purpose of this study is to compare the persistence of 2 or 3 doses of the GSK MenABCWY vaccine, or 2 doses of GSK rMenB+OMV vaccine (Bexsero) administered to healthy adolescents at approximately 24 months after the last meningococcal vaccination in the parent study V102_15(NCT02212457), compared with baseline antibody levels in vaccine naïve subjects at similar age at enrolment."
meningococcal,Dosage-Escalation Study to Evaluate the Safety and Immunogenicity of an Aluminium Hydroxide/LHD153R Adjuvanted Meningococcal C-CRM197 Conjugate Vaccine in Healthy Adults (18-45 years of age).
